Trait Name,Type,Category,Prerequisite(s),PFS Legal,Description,Source,Version
Fiendish Presence,Faction,,,,"Your  family  routinely  held  court with pit fiends and erinyes when you were a child, and as a result, you learned to manipulate people better than most. You gain a +1 trait bonus on Diplomacy and Sense Motive checks. One of these skills (your choice) is always a class skill for you.",PCo:GtPSOP,
Finding Haleen,Campaign,,,,"You never knew your parents—perhaps they died when you were a child, or maybe you were taken from them and raised elsewhere as a slave. You owe your sanity and your life to a woman named Haleen. She could be your sister or merely a childhood companion, but whatever your relationship to her, she took care of you and protected you. She’s always been a part of your life, and although her temper often kept her from making friends or keeping a job, she’s always been kind to you. Haleen was instrumental in securing your freedom from slavery or making sure you got a good apprenticeship or job in society—but recently, she’d been growing strangely morose and depressed. You and Haleen normally kept no secrets, but whatever was bothering her wasn’t something she shared with you. One night, she vanished, leaving you a brief note, begging you to forget her and to get on with your life, but something about the note bothered you—something in the way she phrased her words struck you as forced. You may be convinced she’d been kidnapped, forced to leave against her will, or even magically controlled, but you also suspect that she left you to protect you from something—that was ever her way. You’re now convinced that it’s time for you to step in and protect her, but you had no idea where she may have gone until recently. Several months have passed since she disappeared, and you’ve spent those months searching for clues to her location, and you’ve finally found a lead—a mysterious note, a strange dream, the result of a back-alley divination, or a report of a sighting of a woman matching Haleen’s description has come to you, placing Haleen in the vicinity of an old ghost town named Kelmarane. What she’s doing there and how she came to be there makes no sense to you yet, but the lead is the strongest one you’ve had. This and Garavel’s advertisement for mercenaries to accompany him to the region is all the omen you need. You joined Garavel’s group and eagerly await the day you’ll be leaving for Kelmarane. Although Haleen chose to become a swashbuckling adventurer, she always encouraged you to seek your own path. The class you chose at 1st level is always a favored class to you, and your dedication to it is such that every time you take a level in the class, you gain +1 hit point and 1 additional skill point over and above what you would normally gain. If multiple PCs take this trait, they should be siblings who were both protected and raised by Haleen.",PCo:LoFPG,3.5e
Fires of Hell,Faction,,,,"Your parents signed a pact with a fiend of Hell before you were born and you can summon fire to your aid. Once per day, as a swift action, you can summon fire, imbuing a single weapon you hold with a nimbus of fire that deals an extra 1 point of fire damage for as many rounds as your Charisma bonus. This fire gives off light equivalent to a torch. This is a supernatural ability.",PCo:GtPSOP,
First Memories,Race,,,Yes,"For your whole life, you’ve felt there was a world just beyond the fabric of the material objects around you, and sometimes you can hear the north wind calling you or smell the dread taint of polluted water before you taste it. You do not gain the normal list of spell-like abilities for the gnome magic racial trait. Instead, if you have a Wisdom of 11 of higher, you gain the following spell-like abilities: 1/day—detect poison, know direction, stabilize, and speak with animals. The caster level for these effects is equal to your character level. The DC for these spells is equal to 10 + the spell’s level + your Wisdom modifier.",PCo:GoG,
Flame of the Dawnflower,Religion,,Follower of Sarenrae,,"You have been raised to view yourself as a blade in Sarenrae’s service, or have taken that duty on for yourself. Whenever you score a critical hit with a scimitar, you deal an additional two points of fire damage to your target. If you ever abandon the worship of Sarenrae, you immediately lose access to this trait’s benefits.",PCo:QttE,3.5e
Focused Mind,Basic,,,,Your childhood was either dominated by lessons of some sort (be they musical or academic) or by a horrible home life that encouraged your ability to block out distractions to focus on the immediate task at hand. You gain a +2 trait bonus on concentration checks.,P:CTWE,PFRPG
Fools for Friends,Campaign,,,,"You don’t think of yourself as a gambler. In fact, you rather detest the whole thing. Unfortunately, one or more of your friends (pick one or more of the other players’ characters) doesn’t think so, and you’ve recently learned that friend—or friends—have decided to go to the Gold Goblin’s “Cheat the Devil and Take his Gold” tournament. Which pretty much means you have to go as well, since if no one’s there to watch out for them, they’ll lose all their money and respect. Again. Sometimes it’s hard being the responsible one. Your devotion to your friendships (even when said friends seem, at times, to be trying to test that devotion) is a point of pride to you. Whenever you take the Aid Another action to help an ally, or whenever an ally aids you in this manner, a successful check grants an additional +1 trait bonus to the check for which aid was being rendered. Additionally, as long as one of your friends is within 30 feet, you gain a +1 trait bonus on all saving throws against charm and compulsion effects.",PCo:SD,3.5e
Force For Good,Faction,,,,"Your good-aligned spells are especially powerful, and they function at +1 caster level. This trait makes  your  aura  more  powerful  (one  step  higher),  as outlined in the detect evil spell.",PCo:GtPSOP,
Forlorn,Regional,,Elf race (from any non-elven land),,"There are no major elven settlements in Katapesh, and like many of the region’s elves, you were forced to grow up among shorter-lived races like humanity. Having lived outside of traditional elven society for much or all of your life, you know the world can be cruel, dangerous, and unforgiving of the weak. You gain a +1 trait bonus on Fortitude saving throws.",PCo:EoG,3.5e
Fortified,Faction,,,,"Some members of the Shadow Lodge aren’t completely convinced of the Decemvirate’s sincerity and fear potential reprisals. Through alchemical techniques and endurance training, you gain the ability to negate a critical hit or sneak attack scored against you once per day.  This  functions  as  the  fortification  armor  quality with a 20% chance of success",PCo:GtPSOP,
Framed (Dropout),Campaign,,,,"You were the one accused. Although you were eventually freed when a friend confronted the fisherman and got the truth, the damage had been done. You were forced to leave your school (perhaps the Acadamae) or church. As a result, you were forced to self-train and promised yourself you would become better at your chosen profession despite the spurning of your peers. You gain a +2 bonus on Spellcraft checks.",PAP:CotCTPG,
Framed (Family Honor),Campaign,,,,"The person framed was a family member, perhaps a father or brother. You managed to trick the fisherman into revealing the truth with your skilled tongue. You gain a +2 bonus on Bluff checks.",PAP:CotCTPG,
Freed Slave,Regional,,From Katapesh,,"You spent a significant portion of your childhood as a slave, but were freed from slavery several years ago by a benevolent master who purchased you from an auction after your previous master’s death. Yet while the memories of your difficult childhood still haunt you, the hard life did toughen you. You gain a +1 trait bonus on Fortitude saves.",PCo:LoFPG,3.5e
Freedom Fighter,Regional,,From Shokuro,,"You come from a family of farmers, but are determined to fight for your rights. You gain a +1 trait bonus on attacks made with improvised weapons. If you do not possess the Catch Off-Guard or Throw Anything feats, you still take penalties on these attack rolls as normal.",,
Freedom Fighter,??,,??,,"Although halfling slaves are not as common in Katapesh as they are in Cheliax, they still make up a quarter of slaves sold at the Katapeshi Fleshfairs. Your parents allowed escaping slaves to hide in your home frequently, and the stories you’ve heard from these escaping slaves instilled into you a deep loathing of slavery. You gain a +1 trait bonus on any skill check or attack roll made during the process of escaping capture or in helping a slave escape bondage, and Escape Artist is always a class skill for you.",PCo:GtPSOP,
Freedom Fighter,,,Halfling race,,Your family has long waged war against tyranny and you learned a great deal about guerilla warfare in your youth. You gain a +1 trait bonus on Stealth checks and a +1 trait bonus on attack rolls made during the surprise round.,PCo:GtPSOP,
Frostborn,Regional,,Dwarf race (from Lands of the Linnorm Kings),,"Long nights in the frigid winters of the north have inured you to cold. You gain a +4 trait bonus on any savings throws made to resist the effects of cold environments, as well as a +1 trait bonus on all saving throws against cold effects.",PCo:DoG,PFRPG
Genie Blood,Race,,Human race (Keleshite subrace),,"One of your ancestors was genie-kind. Select an element (air, earth, fire, or water). You gain a +1 trait bonus on saving throws against attacks that utilize that element (cold for air, acid for earth, fire for fire, and electricity for water), and gain a +1 trait bonus on Bluff, Diplomacy, Intimidate, and Sense Motive checks made against creatures of that subtype.",PCo:LoFPG,3.5e
Genie-Caller,Regional,,From Qadira,,"Your exploration of the magic for calling genies has increased your overall aptitude for summoning creatures. Once per day, you may cast one conjuration (summoning) spell as if your caster level were 2 higher than normal.",PCo:QttE,3.5e
Ghost Sight,,,,,"You receive a +2 trait bonus to Perception checks when trying to locate undead, and can attempt to locate ethereal undead (though they are still considered merely invisible, +20 to Stealth).",Wayfinder,PFRPG
Gifted Adept,Basic,,,,"Your interest in magic was inspired by witnessing a spell being cast in a particularly dramatic method, perhaps even one that affected you physically or spiritually. This early exposure to magic has made it easier for you to work similar magic on your own. Pick one spell when you choose this trait—from this point on, whenever you cast that spell, its effects manifest at +1 caster level.",P:CTWE,PFRPG
Gifted Adept,Basic,,,,"Your interest in magic was inspired by witnessing a spell being cast in a particularly dramatic method, perhaps even one that affected you physically or spiritually. This early exposure to magic has made it easier for you to work similar magic on your own. Pick one spell when you choose this traitâ€”from this point on, whenever you cast that spell, its effects manifest at +1 caster level.",P:CTWE,
Glory of Old,Regional,,Dwarf race (from Five Kings Mountains),,"In your veins flows the blood of dwarven heroes from Tar Taargadth. You receive a +1 trait bonus on saving throws against spells, spell-like abilities, and poison.",PCo:DoG,PFRPG
Gnoll Killer ,Campaign,,,,"You grew up in rural Katapesh, in a region where gnoll activity was a fact of life. You killed your first gnoll at a young age when a group of gnoll slavers attacked your village, home, or caravan, and your hatred of gnolls has only grown since then. Something in your past fueled your hatred of gnolls even further— perhaps your family was slaughtered by gnolls, or maybe you even served a few harrowing weeks as a prisoner of a gnoll tribe before a miraculous escape. When you heard that Garavel was looking for brave men and women to aid in retaking the village of Kelmarane from a tribe of gnolls in the service of the notorious Carrion King, you knew you had to be part of the group, and signed up immediately. You gain a +1 trait bonus on attack rolls and weapon damage rolls made against gnolls. If you are a barbarian and you’re fighting gnolls, your rage lasts 1 round longer than normal. If you’re a ranger and you select humanoid (gnoll) as a favored enemy, your trait bonus on attack rolls and weapon damage rolls against gnolls increases to +2. If you’re a spellcaster, you gain a +1 trait bonus to spell save DCs for damaging spells against gnolls.",PCo:LoFPG,3.5e
Goldfinger,Faction,,,,"Your  family  comes  from  a  long,  proud tradition of housebreaking and thievery. You are a strong part of that tradition. You gain a +1 trait bonus on Disable Device and Sleight of Hand checks, and one of these skills (your choice) becomes a class skill for you.",PCo:GtPSOP,
Goldsniffer,Race,,Dwarf race,,"Your keen senses lead you to hidden treasures. You gain a +2 trait bonus on Perception checks related to metals, jewels, and gemstones.",PCo:DoG,PFRPG
Greasy Palm,Faction,,,,"You know how to get people to do what you want with little effort. When bribing an NPC, you pay 10% less than a character without this trait would, garnering the same results.",PCo:GtPSOP,
Grounded,Race,,Dwarf race,,"You are well balanced, both physically and mentally. You gain a +2 trait bonus on balance-related Acrobatics checks, and a +1 trait bonus on Reflex saves.",PCo:DoG,PFRPG
Guardian of the Forge,Religion,,Dwarf race (follower of Torag),,"Torag’s sacred duties are to protect the faithful, take lessons from the great craftsmen and strategists of the past, and prepare against dark times. You receive a +1 trait bonus on Knowledge (engineering) and Knowledge (history) checks. One of these skills (your choice) is a class skill for you.",PCo:DoG,PFRPG
Hedge Magician,Basic,,,No,"You apprenticed for a time to a craftsman who often built magic items, and he taught you many handy shortcuts and cost-saving techniques. Whenever you craft a magic item, you reduce the cost of gp required to make the item by 5%.",P:CTWE,PFRPG
Heirloom Weapon,Equipment,,,,"You carry a non-masterwork simple or martial weapon that has been passed down from generation to generation in your family. When you select this trait, choose one of the following benefits: You gain proficiency with that specific weapon; You gain a +1 trait bonus on attacks of opportunity with that specific weapon; or You gain a +2 trait bonus on one kind of combat maneuver when using that specific weapon. Note: You pay the standard gp cost for the weapon.",Adventurer's Armory,PFRPG
Hellknight Ancestry,Basic,,,,"At least one of your parents was a Hellknight, and you see the orders as the embodiment of civic virtue. You gain a +2 trait bonus on Diplomacy checks to influence Hellknights and a +2 trait bonus on Intimidate checks to influence enemies of the Hellknights.",PCo:CEoD,PFRPG
Historian,Race,,Human race (Garundi),,"Your parents were scholars of history, whether genealogists of your own family tree, sages on the subject of ancient empires, or simply hobbyists with a deep and abiding love for the past. You gain a +1 trait bonus on Knowledge (history) checks and bardic knowledge checks, and Knowledge (history) is always a class skill for you.",PCo:LoFPG,3.5e
History of Heresy,Basic,,,,"You were raised with heretical views that have made it not only difficult for you to accept most religious beliefs, but you also have had to live with the fact that you or those you love were often treated as pariahs. As a result, you have turned your back on religious teachings. As long as you do not possess any levels in a class that grants divine spellcasting power, you gain a +1 trait bonus on all saving throws made against divine spells. ",P:CTWE,PFRPG
Honeyed Words,Religion,,Dwarf race (follower of Grundinnar),,"Your tact soothes bristling tempers and cools heated blood. You receive a +1 trait bonus on Diplomacy checks. In addition, you receive a +1 trait bonus to the DC of any charm or compulsion that does not provide ongoing control and results in peaceful acts, such as calm emotions, sleep, or a suggestion to lay down arms.",PCo:DoG,PFRPG
Horse Lord,Faction,,,,"Your  people  are  masters  of  battling  on horseback, and you have mastered their rare skill. You gain a +2 trait bonus on Ride checks, and the Ride skill becomes a class skill for you.",PCo:GtPSOP,
Hunter's Blood,Social,,,,"You earn a +1 trait bonus on Diplomacy when used to gather information, Knowledge (religion), and Survival when used for tracking when related to an undead quarry. Choose one as these as a class skill. The undead have a +1 bonus on any roll to learn about you, as your family’s fame precedes you.",Wayfinder,PFRPG
Hunter's Eye,Faction,,,,Your parents had you blessed by Erastil as a youth and you are a prodigy with a bow. You do not suffer a penalty for the second range increment when using a longbow or shortbow and you are always considered proficient with one of these weapons (your choice).,PCo:GtPSOP,
I Know a Guy,Faction,,,,"The Sczarni are often related to each other,  and  no  matter  how  distant  the  kinship,  you know  that  you  can  rely  upon  your  extended  family  for information.  You  gain  a  +2  trait  bonus  on  Diplomacy checks made to gather information and a +1 trait bonus on Knowledge (local) skill checks.",PCo:GtPSOP,
Iadaran Illusionist,Regional,,From Kyonin,,You have lived in Iadara for so long that you are very familiar with illusions. You gain a +1 trait bonus on caster level checks with illusion spells and a +1 trait bonus on Will saves to disbelieve illusions.,PCo:EoG,3.5e
Impressive Presence,Faction,,,,"Your grandiose sense of style often makes it difficult for anyone to be around you. Once per day as a full-round action, you may attempt to distract adjacent foes with a lengthy display of your martial prowess. All adjacent foes must succeed on a Will save (DC 10 + 1/2 your level + your Charisma modifier) or gain the shaken condition. This condition persists for one round.",PCo:GtPSOP,
Improvisational Equipment,Equipment,,,,"You have an uncanny knack for turning equipment to new and unexpected uses.  When using an item for anything other than its intended purpose—such as using a crowbar as a grappling hook or an old shirt to bandage a deadly wound—reduce the improvisation penalty by 2. This does not apply to improvised weapon penalties. Your GM may rule that some things are just not suitable for use in certain ways; for example, gluing a dead orc’s face to your own face won’t help you disguise yourself as an orc.",Adventurer's Armory,PFRPG
Indomitable,Faction,,,,"Your strong, self-determined swagger has made you more resistant to domination and control. You gain a +1 trait bonus on saving throws versus enchantment spells and effects. ",PCo:GtPSOP,
Indomitable Faith,Basic,,,,"You were born in a region where your faith was not popular, yet you never abandoned it. Your constant struggle to maintain your own faith has bolstered your drive; you gain a +1 trait bonus on Will saves as a result.",P:CTWE,PFRPG
Infernal Bastard ,Campaign,,,,"You are a tiefling. You might be an escaped slave, a hidden shame, or a homeless vagabond, but whatever your upbringing, life has been particularly hard on you. You have suffered greatly, nearly starving to death one winter, nearly being beaten to death by racist sailors one summer, and so on. Whether or not these experiences have made you a bitter and cynical scoundrel or a pious and hopeful optimist is up to you, but one thing is certain—you are something less than even your tiefling kin. Perhaps it is a result of your hard life, or perhaps it is due to some fault in your fiendish heritage, but you lack a tiefling’s standard resistances to cold, electricity, and fire—instead, you merely have a +2 bonus on all saving throws made against these effects. Likewise, you do not have the ability to use darkness as a spell-like ability once per day—instead, you may choose any one 0-level spell that you can instead use at will as a spell-like ability.",PAP:CoTPG,PFRPG
Infernal Influence,Race,,Human race (from Cheliax),,"Your family boasts secret diabolical ties that may go back much further than the Thrune regime, and much deeper. You gain fire resistance 1 and a +1 trait bonus on Fortitude saves against poison.",PCo:CEoD,PFRPG
Insider Knowledge,Faction,,,,"Venture-Captain  Valsin  likes  to keep abreast of situations within the Pathfinder Society, and  you  do  your  best  to  emulate  him.  Choose  either Diplomacy or Knowledge (local). You gain a +1 trait bonus on all related checks, and the chosen skill is always a class skill for you.",PCo:GtPSOP,
Into Enemy Territory,Campaign,,,,"The shadow in the sky is visible from all around Riddleport, not just in town. It’s certainly come to the attention of several druids, rangers, and other rural folk who dwell in the nearby mountains, forests, and swamps—among them, yourself. You’ve consulted with several seers and Harrowers, and may even have performed some simple auguries yourself, and all the signs point the same way—something or someone in Riddleport is connected to the blot, and it means bad news for the region. You’ve avoided the sleazy, dirty town for most of your life, traveling there only when absolutely necessary, and although you don’t relish the prospect of going there now, you see little other choice (especially if one of your superiors is ordering you to go investigate). Fortunately, an eccentric friend of yours (pick another PC) is in town, and you’ve heard this friend will be taking part in some gambling thing at a place called the Gold Goblin. Your friend’s always had better luck interacting with the cityfolk, so you’ve decided to accompany your friend to this gambling tournament and plan on letting him find a safe place for you to stay while you’re in town. Your long life of self-sustenance has toughened you and made you more resistant to hardship. Pick one of the three categories of saving throw. You gain a +1 trait bonus on all saving throws of that type.",PCo:SD,
Iron Liver,Equipment,,,,"Due to a lucky constitution or frequent exposure, your body is resistant to poison, including alcohol and drugs. You gain a +2 trait bonus on Fortitude saves against poison and drugs, and a +4 trait bonus on Fortitude saves to avoid the effects of alcohol.",Adventurer's Armory,PFRPG
Issan,Campaign,,,,"You were raised northern Brevoy, a land of misty shores and harsh hill lands, of snowy vistas and violet-hued mountains. You are descended from an able and intelligent people, and you have grand ambitions, a mind alert for opportunity, and the tenacity to fight for your goals no matter the challenge. You care for little more than achieving your aspirations and opportunities to win wealthy and grandeur, for which few costs prove too great. You see yourself as a citizen of Brevoy through and through. The call for champions willing to help take back your country’s rightful holdings in the Stolen Lands has inflamed your dreams of profit and possibilities, so you have joined an expedition to quest south. Your agile mind grants you a +1 trait bonus on all Will saves made to resist mind-affecting effects.",PAP:KMPG,PFRPG
Keeper of the Veil,Regional,,From Qadira,,"Even when not cloaked in magic, your training has taught you how to conceal your true nature. You gain a +1 competence bonus on Bluff and Disguise checks, and one of these skills (your choice) is always a class skill for you.",PCo:QttE,3.5e
Keleshite Princess,Basic,,,,"You have been raised to expect obedience from those around you, regardless of their station, and are not shy about demanding what you want. You gain a +1 trait bonus to Diplomacy and Intimidate checks, and one of these skills (your choice) is always a class skill for you. ",PCo:QttE,3.5e
Killer,Basic,,,,"You made your first kill at a very young age and found the task of war or murder to your liking. You either take particular pride in a well-placed blow, or vile pleasure in such a strike as you twist the blade to maximize the pain. You deal additional damage equal to your weapon’s critical hit modifier when you score a successful critical hit with a weapon; this additional damage is added to the final total, and is not multiplied by the critical hit multiple itself. This extra damage is a trait bonus. ",P:CTWE,PFRPG
Kobold's Neighbor,Regional,,From Andoran,,"You grew up in wilderness where kobolds make their homes. You learned early on how to find traps before they find you, how to disable them, and when you should just walk away. You gain a +2 trait bonus to Perception checks to discover traps and a +1 trait bonus to Disable Device checks.",PCo:ASoL,PFRPG
Kyonin Gatekeeper ,Regional,,From Kyonin,No,"You helped maintain the elf gates and are familiar with the operation of teleportation magic. You gain a +1 trait bonus on Spellcraft checks to identify teleportation magic and a +1 trait bonus to caster level checks when casting teleportation spells. You know the proper commands to operate a particular elf gate (most likely an often used elf gate, but at the GM’s discretion it may be a less popular or out-of-the-way elf gate).",PCo:EoG,3.5e
Lapsed Faith ,Race,,Elf,No,You still remember a few prayers from your past experience serving in a temple. Once per day you may cast stabilize as a spell-like ability at caster level 1. The save DC is Wisdom-based.,PCo:EoG,3.5e
Latent Psion,Race,,Human race (from Vudra),,"The power to affect the world with the mind is very much a reality in your distant homeland. Although you may not even have been born in Vudra, this power remains potent in your mind as well and protects you from mental assault. You gain a +2 trait bonus on saves against mindaffecting effects.",PCo:LoFPG,3.5e
Left Behind ,Regional,,From Mwangi Expanse or Varisia,,"Having been born to those who chose to remain on Golarion during the Age of Darkness in the Mwangi Expanse, you understand the people of this world better than most elves. You gain a +1 trait bonus on Diplomacy and Gather Information checks when interacting with Forlorn elves and non-elf races.",PCo:EoG,3.5e
Legacy of Sand,Race,,Half-orc race,,"A large tribe of orcs adapted to life in the desert once dwelt in southeastern Katapesh. Although this tribe is long extinct, some half-orcs of Katapesh carry the traits of this tribe in their particularly large jaws, broad shoulders, and shockingly pale eyes. You often have dreams of hunts and strange ceremonies held under moonlight in the desert sands. Some ascribe these dreams to racial memory, others to visions or prophecies. These dreams have instilled in you a fierce sense of tradition. You gain a +1 trait bonus on all Will saving throws.",PCo:LoFPG,3.5e
Looking for Work,Campaign,,,,"Although out of work, you aren’t particularly keen on the prospect of gambling away your last remaining coins simply for a chance at riches. That said, if the Gold Goblin’s fortunes reverse after this big gambling tournament, you’re relatively certain its owner, Saul Vancaskerkin, will be needing to hire on some new staff members. You’ve secured payment for the tournament, and intend on attending mostly to check the place out, to decide if it’s a place you’d want to work at (as a bouncer, bartender, croupier, server, entertainer, spotter, or cook), and hopefully get a chance to catch Saul’s eye and make an impression. You’ve long worked at honing your skills, and are quite accomplished and certain that you have something to offer. Pick one of the following skills: Bluff, Craft (any), Diplomacy, Intimidate, Perform (any), Profession (gambler), or Perception. You gain a +1 trait bonus in that skill, and that skill is always considered a class skill for you.",PCo:SD,3.5e
Lost Nobility ,Basic,,,,"Your family was prominent before the rise of Thrune, but that legacy is now forgotten by all but you. You hold every Chelish government official (including Hellknights) personally responsible for your lost glory. You gain a +1 trait bonus on attack and damage rolls against government officials of your homeland.",PCo:CEoD,PFRPG
Love Lost (Orphaned),Campaign,,,,"The murder victim was your only surviving parent. You had to grow up fast to take care of your siblings or to handle your family’s matters and were forced from an early age to support yourself. You gain a +2 bonus on one of the following skills: Craft, Perform, or Profession.",PAP:CotCTPG,
Love Lost (Widowed),Campaign,,,,"The murder victim was a lover. With your lover’s death, a part of you died as well, leaving you haunted, grim, and prone to dark musings. You gain a +2 bonus on Intimidate checks.",PAP:CotCTPG,
Loyalty,Faction,,,,You resist attempts to dissuade you from the Decemvirate’s  will.  You  gain  a  +1  trait  bonus  on  saves against enchantment spells and spell-like abilities,PCo:GtPSOP,
Magic is Life,Religion,,Follower of Nethys,,"Your faith in magic allows you to reflexively use the energy of any spell effect on you to save you from death. As long as you are under the effects of any spell, you gain a +2 trait bonus on saving throws against death effects. If you are reduced to negative hit points while you are under the effects of any spell, you automatically confirm stabilization checks to stop bleeding.",PCo:LoFPG,3.5e
Magical Knack,Basic,,,No,"You were raised, either wholly or in part, by a magical creature, either after it found you abandoned in the woods or because your parents often left you in the care of a magical minion. This constant exposure to magic has made its mysteries easy for you to understand, even when you turn your mind to other devotions and tasks. Pick a class when you gain this trait—your caster level in that class gains a +2 trait bonus as long as this bonus doesn’t increase your caster level higher than your current Hit Dice.",P:CTWE,PFRPG
Magical Lineage,Basic,,,,"One of your parents was a gifted spellcaster who not only used metamagic often, but developed many magical items and perhaps even a new spell or two—and you have inherited a fragment of this greatness. Pick one spell when you choose this trait. When you apply metamagic feats to this spell, treat its actual level as 1 lower for determining the spell’s final adjusted level.",P:CTWE,PFRPG
Magical Talent,Basic,,,,"Either from inborn talent, whimsy of the gods, or obsessive study of strange tomes, you have mastered the use of a cantrip. Choose a 0-level spell. You may cast that spell once per day as a spell-like ability. This spell-like ability is cast at your highest caster level gained; if you have no caster level, it functions at CL 1st. The spell-like ability’s save DC is Charisma-based.",P:CTWE,PFRPG
Master of Pentacles,Faction,,,,"Your many years spent studying the art of summoning has given you a unique knowledge of these subtle and complicated arts. Once per day, when casting a spell of the Conjuration school, you are at +2 caster level when determining the duration of the spell.",PCo:GtPSOP,
Masterful Demeanor,Race,,Human race (from Cheliax),,"As a proud Chelaxian, you are confident that members of other, inferior races will obey you, and quickly. You gain a +3 trait bonus on Intimidate checks against members of non-human humanoid races.",PCo:CEoD,PFRPG
Mathematical Prodigy,Basic,,,,"Mathematics has always come easily for you, and you have always been able to “see the math” in the physical and magical world. You gain a +1 bonus on Knowledge (arcana) and Knowledge (engineering) checks, and one of these skills (your choice) is always a class skill for you.",P:CTWE,PFRPG
Medic,Faction,,,," Your experience caring for wounded Pathfinder agents has granted you a +2 trait bonus on Heal checks made  to  treat  diseases  and  poisons.  Additionally,  your caster level is considered one higher when casting spells of the healing subschool with remove in the spell’s name.",PCo:GtPSOP,
Merchant of Katheer,Regional,,From Qadira,,"You grew up among the market stalls of the greatest trading post in all the world, and can almost smell the value of an item before you touch it. You gain a +1 trait bonus to Appraise checks, and Appraise is always a class skill for you.",PCo:QttE,3.5e
Merchant’s Child,Regional,,From Katapesh,,"One of your close relatives was a gifted merchant, and taught you early in life how to see the innate value in any object. You gain a +1 trait bonus on Appraise checks, and Appraise is always a class skill for you.",PCo:LoFPG,3.5e
Meridian Strike,Faction,,,,"Energy flows through channels in the body, like rivers through the land. Once per day when you roll damage on a successful critical hit, reroll any 1s and take the new roll (even if it is another 1).",PCo:GtPSOP,
Meticulous Artisian,Faction,,,,"A  well-carved  statuette, the smooth  stitching  on  a  fine  coat,  the  keen  edge  on  a blade—you know how to craft masterpieces. You gain a +1 trait bonus on Craft checks.",PCo:GtPSOP,
Militant Merchant ,Race,,Dwarf race (from Taldor),,"You know what it takes to get your goods to market and will stop at nothing to protect your products. Years of fending off thieves, cutthroats, and brigands have given you a sixth sense when it comes to danger. You gain a +1 trait bonus to Perception checks made to determine surprise, and Perception is always a class skill for you.",PCo:TEoG,3.5e
Militia Veteran ,Regional,,From Taldor,,"Your first job was serving in a civilian militia in your home town. Skills learned while daily drilling and protecting your fellow townsfolk gave you special insight into military life. Select one of the following skills: Profession (soldier), Ride, or Survival. You gain a +2 trait bonus on that skill, and it is always a class skill for you.",PCo:TEoG,3.5e
Mind Over Matter,Faction,,,," Whether from the pages of a dusty scroll or at the feet of a master, you have learned to set your mind to adapt to the physical realm. You gain a +1 trait bonus on Will saving throws.",PCo:GtPSOP,
Missing Child (Sibling),Campaign,,,,"The missing child is a brother or sister. Although everyone else has given up hope, you believe your sibling still lives out there. Your constant search for the missing sibling has developed into great skill at rumor mongering and finding information from others. Diplomacy (gather information) and Sense Motive are always class skills for you.",PAP:CotCTPG,
Missing Child (Son or Daughter),Campaign,,,,"The missing child is your own son or daughter, a niece or nephew, or the son or daughter of your superior or employer and one you had been charged with protecting. The child was abducted during a trip to the market or some other daily event. Long hours spent searching for rumors and your stubborn will to continue aid you in your efforts. You gain a +1 bonus on Will saves.",PAP:CotCTPG,
Missionary ,Campaign,,,,"You’ve spent much of the last several years serving your faith, and the conviction and dedication to your church has impressed many. Perhaps you’ve donated much of your personal wealth or time to serving the church, or you’re the child of a powerful or well-loved member of the church, an orphan raised by the church, or a foundling with a strange birthmark that bears more than a passing resemblance to your faith’s holy symbol. The faith has long supported you, and you are eager to repay the church in some way. In Katapesh, the establishment of a new village is always cause for interest to the nation’s churches, as establishing new temples in villages is an excellent way to expand upon the church’s resources and bring in more faithful. If the Pactmasters’ plans to revitalize and rebuild Kelmarane are successful, the village will need a temple, and your faith is keenly interested in being represented there. This campaign trait is particularly suited to worshipers of Sarenrae, as Kelmarane was founded near an old monastery dedicated to the Dawnflower, and reconsecrating that monastery is of great interest to Sarenrae’s church. Furthermore, a temple dedicated to her once stood in Kelmarane itself, but it has long since fallen into ruin; whispers among the religion tell that the church’s old pastor may have fallen from grace and may even have been part of the cause of the hard times that befell the village. You’ve joined Garavel’s band in hopes of helping to establish a new temple in the soon-to-be revitalized village. You’ve been selected for your dedication to the church and your strong social graces. Pick one of the following skills: Bluff, Diplomacy, Intimidate, Knowledge (religion), Perform (any), or Sense Motive. You gain a +1 trait bonus on checks using that skill, and it is always considered a class skill for you.",PCo:LoFPG,3.5e
Mordant Heritage ,Regional,,From Mordant Spire,,You lived among the Mordant Spire elves and know their strange ways. You gain a +1 trait bonus on Swim checks and a +1 trait bonus on saving throws against enchantment effects.,PCo:EoG,3.5e
Mummy-Touched,Faction,,,,As a small child you survived the damning curse of a mummy. You gain a +2 trait bonus on saving throws versus diseases and curses.,PCo:GtPSOP,
Narrows Survivor ,Regional,,From Taldor,,You spent your childhood in the infamous Narrows district of Oppara. Years of living in violent squalor have sharpened your senses and given you an ardent distrust of humanity. You gain a +1 trait bonus to Initiative and Sense Motive checks. Sense Motive is always a class skill for you.,PCo:TEoG,3.5e
Natural-Born Leader,Basic,,,No,"You've always found yourself in positions where others look up to you as a leader, and you can distinctly remember an event from your early childhood where you led several other children to accomplish a goal that each of you individually could not. All cohorts, followers, or summoned creatures under your leadership gain a +1 morale bonus on Will saves to avoid mind-affecting effects. If you ever take the Leadership feat, you gain a +1 trait bonus to your Leadership score.",P:CTWE,PFRPG
